case,ebno_db,noise_variance_no,rx_ant,subcarrier_f,symbol_s,pilot_mask_F,nonzero_dmrs_on_selected_port,tx_real,tx_imag,y_real,y_imag,h_true_real,h_true_imag,h_ls_real,h_ls_imag,err_var_rx_ant,err_var_mean_over_rx
twc_mild_clean,7.0,0.11694987863302231,0,0,0,0,0,-0.3162277638912201,-0.3162277638912201,0.34909528493881226,-0.1250181794166565,-0.2671608030796051,0.21510231494903564,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,1,0,0,0.3162277638912201,-0.3162277638912201,0.04290277883410454,-0.09896162152290344,-0.2614150941371918,0.21953162550926208,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,2,1,1,1.0,1.0,-0.22037187218666077,0.1967308223247528,-0.25567057728767395,0.22411291301250458,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,3,0,0,0.9486832618713379,-0.3162277638912201,-0.1992192566394806,0.27104008197784424,-0.24993108212947845,0.22884678840637207,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,4,0,0,-0.9486832618713379,-0.9486832618713379,0.21746349334716797,-0.029366910457611084,-0.2442011684179306,0.2337324470281601,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,5,0,0,-0.9486832618713379,0.3162277638912201,0.0359186977148056,-0.38637569546699524,-0.23848484456539154,0.2387700229883194,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,6,0,0,0.3162277638912201,0.9486832618713379,0.06469225883483887,0.08835925161838531,-0.232786625623703,0.2439589947462082,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,7,0,0,0.9486832618713379,-0.3162277638912201,-0.08365747332572937,0.11512446403503418,-0.2271108329296112,0.24929888546466827,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,8,0,0,-0.3162277638912201,-0.9486832618713379,-0.15052473545074463,-0.23998139798641205,-0.22146150469779968,0.25478890538215637,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,9,0,0,-0.3162277638912201,-0.3162277638912201,-0.020348623394966125,0.04516540467739105,-0.2158433049917221,0.260428249835968,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,10,0,0,-0.3162277638912201,-0.3162277638912201,-0.044518157839775085,-0.2288690209388733,-0.2102607637643814,0.2662157416343689,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,11,0,0,-0.9486832618713379,-0.9486832618713379,0.17787528038024902,0.4276088774204254,-0.20471826195716858,0.2721502482891083,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,12,0,0,0.9486832618713379,-0.3162277638912201,0.15133747458457947,0.23548045754432678,-0.19922038912773132,0.27823060750961304,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,0,13,0,0,-0.3162277638912201,-0.9486832618713379,-0.025275051593780518,0.221424862742424,-0.1937715858221054,0.28445515036582947,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,1,0,0,0,-0.3162277638912201,-0.9486832618713379,0.4758925437927246,-0.00047981739044189453,-0.25984904170036316,0.24792467057704926,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,1,1,0,0,-0.9486832618713379,-0.3162277638912201,0.7606973648071289,-0.47686076164245605,-0.25536873936653137,0.25169453024864197,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,1,2,1,0,0.0,0.0,-0.017101816833019257,-0.26416778564453125,-0.2508808970451355,0.25559648871421814,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,1,3,0,0,0.9486832618713379,0.9486832618713379,-0.5254910588264465,-0.11255693435668945,-0.2463890016078949,0.25963151454925537,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,1,4,0,0,-0.3162277638912201,-0.3162277638912201,0.20487189292907715,0.301936537027359,-0.2418961077928543,0.2637995481491089,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,1,5,0,0,0.9486832618713379,0.3162277638912201,-0.22308100759983063,0.16932500898838043,-0.23740573227405548,0.2681013345718384,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
twc_mild_clean,7.0,0.11694987863302231,0,1,6,0,0,0.3162277638912201,0.9486832618713379,-0.41605687141418457,0.028686508536338806,-0.23292133212089539,0.2725370526313782,-0.14261844754219055,0.2740369439125061,0.029237471520900726,0.029237471520900726
