receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.1781651111359292,1.0,0.14320891414536163,26341572,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,0.0,0.1780385429977525,1.0,0.1427531563094817,26322859,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,0.0,0.17449169970573264,1.0,0.1076114475436043,25798461,147849216,24576,24576,256,True,True
upair5g_lmmse,0.0,0.16017632450617797,1.0,0.029049040589598008,23681944,147849216,24576,24576,256,True,True
perfect_csi_lmmse,0.0,0.1500599705581124,1.0,0.0,22186249,147849216,24576,24576,256,True,True
baseline_ls_lmmse,1.0,0.1549628034551093,1.0,0.11670859382138588,22911129,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,1.0,0.15465028911617631,1.0,0.11589247701340355,22864924,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,1.0,0.15292026303338666,1.0,0.09607455597142689,22609141,147849216,24576,24576,256,True,True
upair5g_lmmse,1.0,0.13568421627612823,1.0,0.02276330657332437,20060805,147849216,24576,24576,256,True,True
perfect_csi_lmmse,1.0,0.12408122610538563,1.0,0.0,18345312,147849216,24576,24576,256,True,True
baseline_ls_lmmse,2.0,0.12958169490733046,1.0,0.09591068178997375,19158552,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,2.0,0.12887155925128477,1.0,0.09460819012019783,19053559,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,2.0,0.12973186141210244,1.0,0.08714493995648809,19180754,147849216,24576,24576,256,True,True
upair5g_lmmse,2.0,0.10520970905926211,1.0,0.018307439662748948,15555173,147849216,24576,24576,256,True,True
perfect_csi_lmmse,2.0,0.08730097019926031,1.0,0.0,12907380,147849216,24576,24576,256,True,True
baseline_ls_lmmse,3.0,0.09607160175945742,1.0,0.07905971305444837,14204111,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,3.0,0.09422763526862395,1.0,0.07714546693023294,13931482,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,3.0,0.09961797159614293,1.0,0.07941306242719293,14728439,147849216,24576,24576,256,True,True
upair5g_lmmse,3.0,0.05071070515517647,0.9285888671875,0.014848412713035941,7497538,147849216,22821,24576,256,True,True
perfect_csi_lmmse,3.0,0.024347792280481218,0.6066080729166666,0.0,3599802,147849216,14908,24576,256,True,True
baseline_ls_lmmse,4.0,0.04328404419811059,0.7884928385416666,0.0658402591070626,6399512,147849216,19378,24576,256,True,True
baseline_ddcpe_ls_lmmse,4.0,0.038077442358571585,0.7550455729166666,0.06316181148577016,5629720,147849216,18556,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,4.0,0.052745907019216116,0.8341878255208334,0.07347934317658655,7798441,147849216,20501,24576,256,True,True
upair5g_lmmse,4.0,0.007924391022810699,0.2138671875,0.012267556423466885,1171615,147849216,5256,24576,256,True,True
perfect_csi_lmmse,4.0,0.002531173381399601,0.07731119791666667,0.0,374232,147849216,1900,24576,256,True,True
baseline_ls_lmmse,5.0,0.010838082496156084,0.2540283203125,0.055415358670870773,1602402,147849216,6243,24576,256,True,True
baseline_ddcpe_ls_lmmse,5.0,0.006687576889146304,0.17862955729166666,0.05189637116563972,988753,147849216,4390,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,5.0,0.01740557758520681,0.36181640625,0.06854735111119226,2573401,147849216,8892,24576,256,True,True
upair5g_lmmse,5.0,0.0008607417979138962,0.025431315104166668,0.010288090554240625,127260,147849216,625,24576,256,True,True
perfect_csi_lmmse,5.0,0.0002239849550504211,0.0076904296875,0.0,33116,147849216,189,24576,256,True,True
baseline_ls_lmmse,6.0,0.0024176274226466303,0.06087039877300614,0.046964971234370594,455183,188276736,1905,31296,326,True,True
baseline_ddcpe_ls_lmmse,6.0,0.0009390167035825392,0.026584867075664622,0.042698267733026866,176795,188276736,832,31296,326,True,True
paper_cfgres_phaseaware_ls_lmmse,6.0,0.004747979059930166,0.11154780163599182,0.06446484863712378,893934,188276736,3491,31296,326,True,True
upair5g_lmmse,6.0,0.00011060846094123918,0.0031952965235173825,0.008741674056288106,20825,188276736,100,31296,326,True,True
perfect_csi_lmmse,6.0,2.8086316516555714e-05,0.0008627300613496933,0.0,5288,188276736,27,31296,326,True,True
