ebno_db,metric,best_classical_receiver,best_classical_value,upair_value,best_classical_over_upair
0.0,ber,paper_cfgres_phaseaware_ls_lmmse,0.1710772277615594,0.1607068379720052,1.0645298602126732
1.0,ber,paper_cfgres_phaseaware_ls_lmmse,0.1490522885153479,0.1360172921038688,1.0958333768439166
2.0,ber,paper_cfgres_phaseaware_ls_lmmse,0.1244401255397932,0.1051909264097822,1.1829929613417771
3.0,ber,paper_cfgres_phaseaware_ls_lmmse,0.0916060657365947,0.0508121328150972,1.802838429749536
4.0,ber,baseline_ddcpe_ls_lmmse,0.0388027624035558,0.008033035494757,4.830398475007558
5.0,ber,baseline_ddcpe_ls_lmmse,0.0070889385034006,0.0008971437494805,7.90167518583897
6.0,ber,baseline_ddcpe_ls_lmmse,0.0010650557275933,9.453207940690395e-05,11.266606365537282
7.0,ber,baseline_ddcpe_ls_lmmse,0.0001892485517136,1.0799854359728224e-05,17.523250352272566
8.0,ber,baseline_ddcpe_ls_lmmse,5.1995541187042885e-05,3.180605299929355e-06,16.34768740031898
14.0,ber,baseline_ddcpe_ls_lmmse,4.7768261415738585e-06,1.0788017976368572e-06,4.427899686520377
0.0,bler,baseline_ls_lmmse,1.0,1.0,1.0
1.0,bler,baseline_ls_lmmse,1.0,1.0,1.0
2.0,bler,baseline_ls_lmmse,1.0,1.0,1.0
3.0,bler,paper_cfgres_phaseaware_ls_lmmse,0.9998779296875,0.9274495442708334,1.0780941517132452
4.0,bler,paper_cfgres_phaseaware_ls_lmmse,0.71923828125,0.2118326822916666,3.3953131002689214
5.0,bler,baseline_ddcpe_ls_lmmse,0.1873372395833333,0.0257975260416666,7.2618296529968624
6.0,bler,baseline_ddcpe_ls_lmmse,0.0297067901234567,0.0032150205761316,9.240000000000222
7.0,bler,baseline_ddcpe_ls_lmmse,0.005340576171875,0.0004170735677083,12.804878048781513
0.0,nmse,paper_cfgres_phaseaware_ls_lmmse,0.0940504606987815,0.0319494321884121,2.9437287067935163
1.0,nmse,paper_cfgres_phaseaware_ls_lmmse,0.0827919357398059,0.0246866811503423,3.353708634854626
2.0,nmse,paper_cfgres_phaseaware_ls_lmmse,0.0730689793126657,0.0194126404749113,3.763989726544378
3.0,nmse,paper_cfgres_phaseaware_ls_lmmse,0.0658264462545048,0.015666353960114,4.20177192613525
4.0,nmse,paper_cfgres_phaseaware_ls_lmmse,0.0595938711048802,0.0128323009048472,4.644051877116563
5.0,nmse,baseline_ddcpe_ls_lmmse,0.052235220791772,0.010752981321275,4.857743097574579
6.0,nmse,baseline_ddcpe_ls_lmmse,0.0430568766630726,0.0091636573125458,4.698656354611187
7.0,nmse,baseline_ddcpe_ls_lmmse,0.0356421978940488,0.0078936605955277,4.515293945402536
8.0,nmse,baseline_ddcpe_ls_lmmse,0.0297886716307402,0.006907510343808,4.312504816940771
9.0,nmse,baseline_ddcpe_ls_lmmse,0.0251609019233001,0.0061039134220663,4.122093513374673
10.0,nmse,baseline_ddcpe_ls_lmmse,0.0215279696967627,0.0054516401760338,3.948897763172774
11.0,nmse,baseline_ddcpe_ls_lmmse,0.0187218588143878,0.0049119724699266,3.811474703698322
12.0,nmse,baseline_ddcpe_ls_lmmse,0.0164697417530987,0.0044665154796348,3.6873804262389647
13.0,nmse,baseline_ddcpe_ls_lmmse,0.0146886830107177,0.004096179939097,3.585946718433422
14.0,nmse,baseline_ddcpe_ls_lmmse,0.0133049474870858,0.0038136971047606,3.488726849984328
