scenario,ebno_db,best_ber_classical_receiver,best_ber_classical,ber_upair,ber_ratio_best_classical_over_upair,best_bler_classical_receiver,best_bler_classical,bler_upair,bler_ratio_best_classical_over_upair,best_nmse_classical_receiver,best_nmse_classical,nmse_upair,nmse_ratio_best_classical_over_upair
Mild main,0.0,paper_cfgres_phaseaware_ls_lmmse,0.1710772277615594,0.1607068379720052,1.0645298602126732,baseline_ls_lmmse,1.0,1.0,1.0,paper_cfgres_phaseaware_ls_lmmse,0.0940504606987815,0.0319494321884121,2.9437287067935163
Mild main,1.0,paper_cfgres_phaseaware_ls_lmmse,0.1490522885153479,0.1360172921038688,1.0958333768439166,baseline_ls_lmmse,1.0,1.0,1.0,paper_cfgres_phaseaware_ls_lmmse,0.0827919357398059,0.0246866811503423,3.353708634854626
Mild main,2.0,paper_cfgres_phaseaware_ls_lmmse,0.1244401255397932,0.1051909264097822,1.1829929613417771,baseline_ls_lmmse,1.0,1.0,1.0,paper_cfgres_phaseaware_ls_lmmse,0.0730689793126657,0.0194126404749113,3.763989726544378
Mild main,3.0,paper_cfgres_phaseaware_ls_lmmse,0.0916060657365947,0.0508121328150972,1.802838429749536,paper_cfgres_phaseaware_ls_lmmse,0.9998779296875,0.9274495442708334,1.0780941517132452,paper_cfgres_phaseaware_ls_lmmse,0.0658264462545048,0.015666353960114,4.20177192613525
Mild main,4.0,baseline_ddcpe_ls_lmmse,0.0388027624035558,0.008033035494757,4.830398475007558,paper_cfgres_phaseaware_ls_lmmse,0.71923828125,0.2118326822916666,3.3953131002689214,paper_cfgres_phaseaware_ls_lmmse,0.0595938711048802,0.0128323009048472,4.644051877116563
Mild main,5.0,baseline_ddcpe_ls_lmmse,0.0070889385034006,0.0008971437494805,7.90167518583897,baseline_ddcpe_ls_lmmse,0.1873372395833333,0.0257975260416666,7.2618296529968624,baseline_ddcpe_ls_lmmse,0.052235220791772,0.010752981321275,4.857743097574579
Mild main,6.0,baseline_ddcpe_ls_lmmse,0.0010650557275933,9.453207940690395e-05,11.266606365537282,baseline_ddcpe_ls_lmmse,0.0297067901234567,0.0032150205761316,9.240000000000222,baseline_ddcpe_ls_lmmse,0.0430568766630726,0.0091636573125458,4.698656354611187
Mild main,7.0,baseline_ddcpe_ls_lmmse,0.0001892485517136,1.0799854359728224e-05,17.523250352272566,baseline_ddcpe_ls_lmmse,0.005340576171875,0.0004170735677083,12.804878048781513,baseline_ddcpe_ls_lmmse,0.0356421978940488,0.0078936605955277,4.515293945402536
Mild main,8.0,baseline_ddcpe_ls_lmmse,5.1995541187042885e-05,3.180605299929355e-06,16.34768740031898,,,,,baseline_ddcpe_ls_lmmse,0.0297886716307402,0.006907510343808,4.312504816940771
Mild main,9.0,,,,,,,,,baseline_ddcpe_ls_lmmse,0.0251609019233001,0.0061039134220663,4.122093513374673
