receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.1781651111359292,1.0,0.1432089141453616,26341572,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,0.0,0.1780385429977525,1.0,0.1427531563094817,26322859,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,0.0,0.1744916997057326,1.0,0.1076114475436043,25798461,147849216,24576,24576,256,True,True
upair5g_lmmse,0.0,0.1601763245061779,1.0,0.029049040589598,23681944,147849216,24576,24576,256,True,True
perfect_csi_lmmse,0.0,0.1500599705581124,1.0,0.0,22186249,147849216,24576,24576,256,True,True
baseline_ls_lmmse,8.0,0.0001965837275728,0.004669189453125,0.0350241208579973,116259,591396864,459,98304,1024,True,True
baseline_ddcpe_ls_lmmse,8.0,4.4100673486154976e-05,0.0008951822916666,0.029504706744774,26081,591396864,88,98304,1024,True,True
paper_cfgres_phaseaware_ls_lmmse,8.0,0.000514361875277,0.0123799641927083,0.0583554776676464,304192,591396864,1217,98304,1024,True,True
upair5g_lmmse,8.0,4.457243790863254e-06,8.138020833333333e-05,0.0065836750418384,2636,591396864,8,98304,1024,True,False
perfect_csi_lmmse,8.0,6.442374371467752e-07,3.0517578125e-05,0.0,381,591396864,3,98304,1024,True,False
