metric,ebno_db,best_non_upair_receiver,best_non_upair_value,upair_value,gain_factor_best_non_upair_over_upair
ber,0.0,paper_cfgres_phaseaware_ls_lmmse,0.1744916997057326,0.1601763245061779,1.0893726038706961
ber,1.0,paper_cfgres_phaseaware_ls_lmmse,0.1529202630333866,0.1356842162761282,1.1270305952328432
ber,2.0,baseline_ddcpe_ls_lmmse,0.1288715592512847,0.1052097090592621,1.2249017738343375
ber,3.0,baseline_ddcpe_ls_lmmse,0.0942276352686239,0.0507107051551764,1.8581408990524642
ber,4.0,baseline_ddcpe_ls_lmmse,0.0380774423585715,0.0079243910228106,4.80509382348302
ber,5.0,baseline_ddcpe_ls_lmmse,0.0066875768891463,0.0008607417979138,7.769550526482083
ber,6.0,baseline_ddcpe_ls_lmmse,0.0009390167035825,0.0001106084609412,8.489555822331583
ber,7.0,baseline_ddcpe_ls_lmmse,0.0001585348278072,1.3265203922352892e-05,11.951179094959603
ber,8.0,baseline_ddcpe_ls_lmmse,4.4100673486154976e-05,4.457243790863254e-06,9.894157814871017
ber,9.0,baseline_ddcpe_ls_lmmse,1.0850581716983876e-05,0.0,10850581.716983877
ber,10.0,baseline_ddcpe_ls_lmmse,2.1102580618351065e-06,0.0,2110258.0618351065
ber,11.0,baseline_ddcpe_ls_lmmse,2.154221771456671e-06,0.0,2154221.771456671
ber,12.0,baseline_ddcpe_ls_lmmse,3.348005578873005e-06,0.0,3348005.578873005
ber,13.0,baseline_ddcpe_ls_lmmse,2.149149035731106e-06,0.0,2149149.035731106
ber,14.0,baseline_ddcpe_ls_lmmse,3.4900421791888297e-06,0.0,3490042.17918883
bler,0.0,baseline_ls_lmmse,1.0,1.0,1.0
bler,1.0,baseline_ls_lmmse,1.0,1.0,1.0
bler,2.0,baseline_ls_lmmse,1.0,1.0,1.0
bler,3.0,baseline_ls_lmmse,1.0,0.9285888671875,1.0769028526357303
bler,4.0,baseline_ddcpe_ls_lmmse,0.7550455729166666,0.2138671875,3.530441400304414
bler,5.0,baseline_ddcpe_ls_lmmse,0.1786295572916666,0.0254313151041666,7.024000000000016
bler,6.0,baseline_ddcpe_ls_lmmse,0.0265848670756646,0.0031952965235173,8.320000000000208
bler,7.0,baseline_ddcpe_ls_lmmse,0.004364013671875,0.0004374186197916,9.976744186048032
bler,8.0,baseline_ddcpe_ls_lmmse,0.0008951822916666,8.138020833333333e-05,10.999999999999181
bler,9.0,baseline_ddcpe_ls_lmmse,0.000244140625,0.0,244140625.0
bler,10.0,baseline_ddcpe_ls_lmmse,4.069010416666666e-05,0.0,40690104.16666666
bler,11.0,baseline_ddcpe_ls_lmmse,4.069010416666666e-05,0.0,40690104.16666666
bler,12.0,baseline_ddcpe_ls_lmmse,3.0517578125e-05,0.0,30517578.125
bler,13.0,baseline_ddcpe_ls_lmmse,5.0862630208333336e-05,0.0,50862630.208333336
bler,14.0,baseline_ddcpe_ls_lmmse,5.0862630208333336e-05,0.0,50862630.208333336
nmse,0.0,paper_cfgres_phaseaware_ls_lmmse,0.1076114475436043,0.029049040589598,3.7044751000189056
nmse,1.0,paper_cfgres_phaseaware_ls_lmmse,0.0960745559714268,0.0227633065733243,4.220588764727791
nmse,2.0,paper_cfgres_phaseaware_ls_lmmse,0.087144939956488,0.0183074396627489,4.760083417552174
nmse,3.0,baseline_ddcpe_ls_lmmse,0.0771454669302329,0.0148484127130359,5.195536278601982
nmse,4.0,baseline_ddcpe_ls_lmmse,0.0631618114857701,0.0122675564234668,5.148687261380505
nmse,5.0,baseline_ddcpe_ls_lmmse,0.0518963711656397,0.0102880905542406,5.044315161499894
nmse,6.0,baseline_ddcpe_ls_lmmse,0.0426982677330268,0.0087416740562881,4.884449758489095
nmse,7.0,baseline_ddcpe_ls_lmmse,0.0353036264677939,0.0075283322676114,4.689435217900535
nmse,8.0,baseline_ddcpe_ls_lmmse,0.029504706744774,0.0065836750418384,4.481494994402886
nmse,9.0,baseline_ddcpe_ls_lmmse,0.0249059050875075,0.0058172077392555,4.281419231332972
nmse,10.0,baseline_ddcpe_ls_lmmse,0.021300090898876,0.0051796175384879,4.112290287960951
nmse,11.0,baseline_ddcpe_ls_lmmse,0.0185003469287039,0.004676753563217,3.9558096612595643
nmse,12.0,baseline_ddcpe_ls_lmmse,0.0162744492254205,0.004252215084989,3.8272874020112275
nmse,13.0,baseline_ddcpe_ls_lmmse,0.0145375222955408,0.0039013222865378,3.7263064232619496
nmse,14.0,baseline_ddcpe_ls_lmmse,0.0131473737392298,0.0036043815180164,3.6476087987670063
