receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler,scenario
baseline_ddcpe_ls_lmmse,12.0,2.039239761677194e-06,3.0517578125e-05,0.0164697417530987,1206,591396864,3,98304,1024,True,False,twc_mild_main
baseline_ddcpe_ls_lmmse,13.0,6.019646394337323e-07,1.0172526041666666e-05,0.0146886830107177,356,591396864,1,98304,1024,True,False,twc_mild_main
baseline_ddcpe_ls_lmmse,14.0,4.7768261415738585e-06,4.069010416666666e-05,0.0133049474870858,2825,591396864,4,98304,1024,True,False,twc_mild_main
upair5g_lmmse,0.0,0.1607068379720052,1.0,0.0319494321884121,23760380,147849216,24576,24576,256,True,True,twc_mild_main
upair5g_lmmse,1.0,0.1360172921038688,1.0,0.0246866811503423,20110050,147849216,24576,24576,256,True,True,twc_mild_main
upair5g_lmmse,2.0,0.1051909264097822,1.0,0.0194126404749113,15552396,147849216,24576,24576,256,True,True,twc_mild_main
upair5g_lmmse,3.0,0.0508121328150972,0.9274495442708334,0.015666353960114,7512534,147849216,22793,24576,256,True,True,twc_mild_main
upair5g_lmmse,4.0,0.008033035494757,0.2118326822916666,0.0128323009048472,1187678,147849216,5206,24576,256,True,True,twc_mild_main
upair5g_lmmse,5.0,0.0008971437494805,0.0257975260416666,0.010752981321275,132642,147849216,634,24576,256,True,True,twc_mild_main
upair5g_lmmse,6.0,9.453207940690395e-05,0.0032150205761316,0.0091636573125458,17689,187121664,100,31104,324,True,True,twc_mild_main
upair5g_lmmse,7.0,1.0799854359728224e-05,0.0004170735677083,0.0078936605955277,6387,591396864,41,98304,1024,True,True,twc_mild_main
upair5g_lmmse,8.0,3.180605299929355e-06,7.120768229166667e-05,0.006907510343808,1881,591396864,7,98304,1024,True,False,twc_mild_main
upair5g_lmmse,9.0,0.0,0.0,0.0061039134220663,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,10.0,0.0,0.0,0.0054516401760338,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,11.0,0.0,0.0,0.0049119724699266,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,12.0,0.0,0.0,0.0044665154796348,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,13.0,0.0,0.0,0.004096179939097,0,591396864,0,98304,1024,False,False,twc_mild_main
upair5g_lmmse,14.0,1.0788017976368572e-06,1.0172526041666666e-05,0.0038136971047606,638,591396864,1,98304,1024,True,False,twc_mild_main
perfect_csi_lmmse,0.0,0.150032638658023,1.0,0.0,22182208,147849216,24576,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,1.0,0.1239735353077557,1.0,0.0,18329390,147849216,24576,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,2.0,0.0871380136368122,1.0,0.0,12883287,147849216,24576,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,3.0,0.0245146176493759,0.6092936197916666,0.0,3624467,147849216,14974,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,4.0,0.0026368689029774,0.08056640625,0.0,389859,147849216,1980,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,5.0,0.0002211036411583,0.0080973307291666,0.0,32690,147849216,199,24576,256,True,True,twc_mild_main
perfect_csi_lmmse,6.0,1.4765794301615445e-05,0.000610853909465,0.0,2763,187121664,19,31104,324,True,False,twc_mild_main
perfect_csi_lmmse,7.0,1.5725480749251996e-06,7.120768229166667e-05,0.0,930,591396864,7,98304,1024,True,False,twc_mild_main
perfect_csi_lmmse,8.0,2.7392772918051864e-07,2.034505208333333e-05,0.0,162,591396864,2,98304,1024,True,False,twc_mild_main
perfect_csi_lmmse,9.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,10.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,11.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,12.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,13.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
perfect_csi_lmmse,14.0,0.0,0.0,0.0,0,591396864,0,98304,1024,False,False,twc_mild_main
